name,artist,played_at,date,hour,day_of_week,rewind_score,is_high_replay
Footsteps in the Dark Pts. 1 & 2,SiR,2025-05-28 22:37:05.402000+00:00,2025-05-28,22,Wednesday,1,False
You Can't Save Me,SiR,2025-05-28 22:31:46.862000+00:00,2025-05-28,22,Wednesday,1,False
NOTHING EVEN MATTERS,SiR,2025-05-28 22:28:51.502000+00:00,2025-05-28,22,Wednesday,1,False
Old Age,Masego,2025-05-28 22:25:11.636000+00:00,2025-05-28,22,Wednesday,1,False
D'Evils,SiR,2025-05-28 22:20:12.428000+00:00,2025-05-28,22,Wednesday,1,False
John Redcorn,SiR,2025-05-28 22:17:20.518000+00:00,2025-05-28,22,Wednesday,1,False
Só Danço Samba,Stan Getz,2025-05-28 22:04:27.083000+00:00,2025-05-28,22,Wednesday,1,False
Water No Get Enemy,Fela Kuti,2025-05-28 13:48:33.988000+00:00,2025-05-28,13,Wednesday,1,False
Hold Me Down,Daniel Caesar,2025-05-28 13:38:41.791000+00:00,2025-05-28,13,Wednesday,1,False
Almeda,Solange,2025-05-28 13:34:49.818000+00:00,2025-05-28,13,Wednesday,1,False
Out On The Edge,John Mark Pantana,2025-05-28 13:30:49.265000+00:00,2025-05-28,13,Wednesday,1,False
Scotoma,IMRSQD,2025-05-28 13:27:40.741000+00:00,2025-05-28,13,Wednesday,1,False
Opened Up the Heavens,Mark Barlow,2025-05-28 13:25:42.560000+00:00,2025-05-28,13,Wednesday,1,False
Go DJ (feat. SiR),KAYTRANADA,2025-05-28 13:21:09.188000+00:00,2025-05-28,13,Wednesday,1,False
CYANIDE,Daniel Caesar,2025-05-27 23:27:26.995000+00:00,2025-05-27,23,Tuesday,1,False
Golden,Jill Scott,2025-05-27 23:24:12.796000+00:00,2025-05-27,23,Tuesday,1,False
Show Me Off,Aṣa,2025-05-27 23:20:02.285000+00:00,2025-05-27,23,Tuesday,1,False
Desafinado,Stan Getz,2025-05-27 23:16:45.020000+00:00,2025-05-27,23,Tuesday,1,False
Sweet November,SZA,2025-05-27 23:12:40.033000+00:00,2025-05-27,23,Tuesday,1,False
Retrograde (feat. 6LACK & Lucky Daye),Khalid,2025-05-27 23:08:31.576000+00:00,2025-05-27,23,Tuesday,1,False
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,2025-05-27 23:04:09.778000+00:00,2025-05-27,23,Tuesday,1,False
Fly Me To The Moon,Astrud Gilberto,2025-05-27 23:00:48.772000+00:00,2025-05-27,23,Tuesday,1,False
Paradise,Sade,2025-05-27 22:58:26.470000+00:00,2025-05-27,22,Tuesday,2,False
Love Was Really Gone - 2018 Remaster,Makoto Matsushita,2025-05-27 22:55:35.186000+00:00,2025-05-27,22,Tuesday,1,False
Mayana,Aṣa,2025-05-27 21:15:37.437000+00:00,2025-05-27,21,Tuesday,1,False
Do 2 Me (feat. Anderson .Paak & SiR),KAYTRANADA,2025-05-27 21:12:52.538000+00:00,2025-05-27,21,Tuesday,1,False
Let's Fall In Love,Stan Getz,2025-05-27 21:08:52.861000+00:00,2025-05-27,21,Tuesday,1,False
God With Us Medley,Don Moen,2025-05-27 21:02:22.653000+00:00,2025-05-27,21,Tuesday,1,False
I Get A Kick Out Of You,Ella Fitzgerald,2025-05-27 20:55:04.173000+00:00,2025-05-27,20,Tuesday,1,False
Doralice,Stan Getz,2025-05-27 20:51:01.821000+00:00,2025-05-27,20,Tuesday,1,False
Saudade Vem Correndo,Stan Getz,2025-05-27 20:48:15.341000+00:00,2025-05-27,20,Tuesday,1,False
The Sweetest Taboo,Sade,2025-05-27 20:44:35.893000+00:00,2025-05-27,20,Tuesday,1,False
The Girl From Ipanema,Stan Getz,2025-05-27 20:09:30.105000+00:00,2025-05-27,20,Tuesday,1,False
Paradise,Coldplay,2025-05-27 20:04:07.827000+00:00,2025-05-27,20,Tuesday,2,False
The Canvas,SiR,2025-05-27 19:59:28.633000+00:00,2025-05-27,19,Tuesday,1,False
Smile (feat. H.E.R.),Wizkid,2025-05-27 19:56:34.531000+00:00,2025-05-27,19,Tuesday,1,False
ベサメ・ムーチョ,Lisa Ono,2025-05-27 19:52:22.460000+00:00,2025-05-27,19,Tuesday,1,False
It's Our Love,Thee Sacred Souls,2025-05-27 19:49:01.431000+00:00,2025-05-27,19,Tuesday,1,False
Jesus Bu Eze,Duncan Mighty,2025-05-27 19:41:41.516000+00:00,2025-05-27,19,Tuesday,1,False
Portharcourt Son,Duncan Mighty,2025-05-27 13:42:32.333000+00:00,2025-05-27,13,Tuesday,1,False
Dance for Me Ft Sandazblack,Duncan Mighty,2025-05-27 13:36:31.641000+00:00,2025-05-27,13,Tuesday,1,False
Water No Get Enemy,Fela Kuti,2025-05-27 13:24:17.815000+00:00,2025-05-27,13,Tuesday,1,False
Life Goes On,BTS,2025-05-27 13:12:15.372000+00:00,2025-05-27,13,Tuesday,1,False
Hold Me Down,Daniel Caesar,2025-05-26 21:47:24.747000+00:00,2025-05-26,21,Monday,2,False
Hold Me Down,Daniel Caesar,2025-05-26 15:58:16.898000+00:00,2025-05-26,15,Monday,2,False
Peace Of Mind,Rema,2025-05-26 15:47:49.365000+00:00,2025-05-26,15,Monday,1,False
Electricity,Pheelz,2025-05-26 07:53:12.799000+00:00,2025-05-26,7,Monday,1,False
Monalisa,Lojay,2025-05-25 20:31:39.267000+00:00,2025-05-25,20,Sunday,1,False
Made It,Gayathri Krishnan,2025-05-25 20:20:07.400000+00:00,2025-05-25,20,Sunday,1,False
The Rumbling (TV Size),SiM,2025-05-25 18:41:49.295000+00:00,2025-05-25,18,Sunday,1,False
